Report Number,Date of Occurrence,city,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Case Closed,Date Case Closed,area_location,latitude,longitude
1022,2/12/2020 13:00,Lucknow,120,ROBBERY,38,F,Explosives,Violent Crime,Yes,6/5/2020 15:00,Alambagh,26.7923,80.8899
1023,2/12/2020 14:00,Kolkata,423,COUNTERFEITING,55,F,Firearm,Other Crime,No,,Salt Lake,22.5867,88.417
1024,2/12/2020 15:00,Bangalore,471,DRUG OFFENSE,56,M,Poison,Other Crime,Yes,3/4/2020 3:00,Whitefield,12.9698,77.7499
1025,2/12/2020 16:00,Delhi,225,VANDALISM,39,F,Blunt Object,Other Crime,No,,Dwarka,28.5921,77.046
1026,2/12/2020 17:00,Mumbai,360,BURGLARY,65,F,None,Other Crime,No,,Bandra,19.0606,72.8366
1027,2/12/2020 18:00,Ahmedabad,138,CYBERCRIME,53,F,Blunt Object,Other Crime,Yes,7/4/2020 0:00,Maninagar,22.9921,72.6036
1028,2/12/2020 19:00,Jaipur,562,HOMICIDE,62,M,Explosives,Other Crime,No,,Mansarovar,26.8554,75.7705
1031,2/12/2020 22:00,Delhi,546,VANDALISM,27,M,Other,Other Crime,No,,Saket,28.5206,77.2073
1032,2/12/2020 23:00,Mumbai,456,ARSON,41,F,Firearm,Fire Accident,Yes,21-04-2020 09:00,Bandra,19.0606,72.8366
1035,2/13/2020 2:00,Jaipur,106,VANDALISM,36,M,Explosives,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1036,2/13/2020 3:00,Ahmedabad,199,TRAFFIC VIOLATION,41,F,Knife,Traffic Fatality,Yes,6/3/2020 19:00,Maninagar,22.9921,72.6036
1037,2/13/2020 4:00,Kolkata,527,KIDNAPPING,60,F,Blunt Object,Other Crime,Yes,4/3/2020 8:00,Behala,22.501,88.3141
1038,2/13/2020 5:00,Pune,156,IDENTITY THEFT,73,M,Other,Violent Crime,Yes,10/4/2020 8:00,Viman Nagar,18.5679,73.9143
1039,2/13/2020 6:00,Kolkata,138,IDENTITY THEFT,56,M,Other,Violent Crime,No,,Salt Lake,22.5867,88.417
1040,2/13/2020 7:00,Bangalore,138,VEHICLE - STOLEN,10,F,None,Violent Crime,Yes,11/5/2020 0:00,Koramangala,12.9352,77.6142
1041,2/13/2020 8:00,Pune,522,EXTORTION,52,F,None,Other Crime,No,,Budhwar Peth,18.5167,73.855
1045,2/13/2020 12:00,Bangalore,538,TRAFFIC VIOLATION,35,F,Knife,Traffic Fatality,No,,Whitefield,12.9698,77.7499
1047,2/13/2020 14:00,Mumbai,508,HOMICIDE,66,F,Other,Other Crime,No,,Andheri,19.1197,72.8468
1049,2/13/2020 16:00,Ahmedabad,463,FIREARM OFFENSE,22,F,Firearm,Fire Accident,No,,Maninagar,22.9921,72.6036
1050,2/13/2020 17:00,Delhi,330,VEHICLE - STOLEN,54,M,None,Violent Crime,Yes,1/3/2020 10:00,Dwarka,28.5921,77.046
1051,2/13/2020 18:00,Delhi,401,FRAUD,42,F,Explosives,Other Crime,Yes,12/3/2020 10:00,Rohini,28.7492,77.0574
1052,2/13/2020 19:00,Chennai,391,VEHICLE - STOLEN,32,F,Poison,Violent Crime,Yes,5/3/2020 5:00,T. Nagar,13.042,80.2337
1053,2/13/2020 20:00,Hyderabad,182,TRAFFIC VIOLATION,44,F,None,Traffic Fatality,Yes,28-02-2020 10:00,Banjara Hills,17.4123,78.4296
1055,2/13/2020 22:00,Jaipur,386,IDENTITY THEFT,25,F,Knife,Violent Crime,No,,Malviya Nagar,26.8497,75.818
1057,2/14/2020 0:00,Hyderabad,280,HOMICIDE,16,F,Knife,Other Crime,Yes,9/1/2021 3:00,Gachibowli,17.4448,78.3498
1060,2/14/2020 3:00,Chennai,294,CYBERCRIME,16,M,Explosives,Other Crime,No,,Adyar,13.0067,80.257
1061,2/14/2020 4:00,Bangalore,333,FIREARM OFFENSE,42,F,None,Fire Accident,No,,Koramangala,12.9352,77.6142
1065,2/14/2020 8:00,Hyderabad,120,IDENTITY THEFT,22,F,Explosives,Violent Crime,No,,Banjara Hills,17.4123,78.4296
1066,2/14/2020 9:00,Mumbai,574,PUBLIC INTOXICATION,47,M,Blunt Object,Other Crime,No,,Andheri,19.1197,72.8468
1067,2/14/2020 10:00,Lucknow,342,ROBBERY,31,F,Knife,Violent Crime,No,,Alambagh,26.7923,80.8899
1068,2/14/2020 11:00,Ahmedabad,446,BURGLARY,32,F,Explosives,Other Crime,No,,Maninagar,22.9921,72.6036
1069,2/14/2020 12:00,Chennai,232,ILLEGAL POSSESSION,18,F,Firearm,Other Crime,Yes,6/5/2020 5:00,Adyar,13.0067,80.257
1070,2/14/2020 13:00,Delhi,458,ARSON,53,M,Explosives,Fire Accident,No,,Saket,28.5206,77.2073
1071,2/14/2020 14:00,Ahmedabad,126,IDENTITY THEFT,35,F,Other,Violent Crime,Yes,23-03-2020 10:00,Navrangpura,23.0422,72.5551
1073,2/14/2020 16:00,Mumbai,240,DRUG OFFENSE,42,F,Explosives,Other Crime,No,,Dadar,19.0184,72.8436
1074,2/14/2020 17:00,Pune,127,ARSON,19,F,Firearm,Fire Accident,No,,Kothrud,18.5096,73.8077
1076,2/14/2020 19:00,Delhi,202,VEHICLE - STOLEN,74,M,None,Violent Crime,Yes,28-03-2020 07:00,Saket,28.5206,77.2073
1077,2/14/2020 20:00,Kolkata,546,BURGLARY,50,F,Explosives,Other Crime,Yes,23-03-2020 00:00,Salt Lake,22.5867,88.417
1078,2/14/2020 21:00,Hyderabad,577,VANDALISM,50,M,Explosives,Other Crime,No,,Banjara Hills,17.4123,78.4296
1079,2/14/2020 22:00,Chennai,130,ARSON,64,F,Other,Fire Accident,Yes,20-03-2020 10:00,T. Nagar,13.042,80.2337
1080,2/14/2020 23:00,Kolkata,399,EXTORTION,67,F,Knife,Other Crime,Yes,2/3/2020 13:00,Salt Lake,22.5867,88.417
1081,2/15/2020 0:00,Delhi,522,ASSAULT,41,F,None,Violent Crime,Yes,9/5/2020 13:00,Saket,28.5206,77.2073
1082,2/15/2020 1:00,Bangalore,184,BURGLARY,66,M,Explosives,Other Crime,Yes,10/4/2020 5:00,Whitefield,12.9698,77.7499
1083,2/15/2020 2:00,Mumbai,398,PUBLIC INTOXICATION,16,F,Firearm,Other Crime,No,,Bandra,19.0606,72.8366
1084,2/15/2020 3:00,Hyderabad,121,VEHICLE - STOLEN,57,F,Blunt Object,Violent Crime,Yes,26-02-2020 01:00,Gachibowli,17.4448,78.3498
1085,2/15/2020 4:00,Ahmedabad,251,TRAFFIC VIOLATION,28,M,Explosives,Traffic Fatality,Yes,20-02-2020 01:00,Maninagar,22.9921,72.6036
1086,2/15/2020 5:00,Ahmedabad,500,EXTORTION,45,M,Knife,Other Crime,Yes,27-04-2020 22:00,Navrangpura,23.0422,72.5551
1087,2/15/2020 6:00,Delhi,401,ILLEGAL POSSESSION,34,F,Firearm,Other Crime,Yes,25-02-2020 13:00,Rohini,28.7492,77.0574
1088,2/15/2020 7:00,Delhi,573,FIREARM OFFENSE,42,F,Firearm,Fire Accident,No,,Dwarka,28.5921,77.046
1089,2/15/2020 8:00,Delhi,334,FIREARM OFFENSE,72,F,Firearm,Fire Accident,Yes,19-03-2020 17:00,Dwarka,28.5921,77.046
1092,2/15/2020 11:00,Kolkata,247,SHOPLIFTING,56,M,Poison,Other Crime,No,,Salt Lake,22.5867,88.417
1095,2/15/2020 14:00,Kolkata,140,FRAUD,39,M,None,Other Crime,Yes,27-02-2020 04:00,Salt Lake,22.5867,88.417
1099,2/15/2020 18:00,Kolkata,531,TRAFFIC VIOLATION,18,F,None,Traffic Fatality,Yes,19-02-2020 12:00,Park Street,22.5531,88.3501
1100,2/15/2020 19:00,Bangalore,305,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,No,,Whitefield,12.9698,77.7499
1101,2/15/2020 20:00,Jaipur,575,FRAUD,34,F,Knife,Other Crime,No,,Malviya Nagar,26.8497,75.818
1103,2/15/2020 22:00,Mumbai,318,VEHICLE - STOLEN,61,F,Firearm,Violent Crime,Yes,5/4/2020 16:00,Andheri,19.1197,72.8468
1104,2/15/2020 23:00,Hyderabad,534,PUBLIC INTOXICATION,66,M,Explosives,Other Crime,Yes,3/3/2020 3:00,Gachibowli,17.4448,78.3498
1105,2/16/2020 0:00,Mumbai,148,DOMESTIC VIOLENCE,77,F,None,Violent Crime,Yes,24-04-2020 12:00,Andheri,19.1197,72.8468
1106,2/16/2020 1:00,Delhi,141,ROBBERY,53,F,Blunt Object,Violent Crime,Yes,20-04-2020 15:00,Saket,28.5206,77.2073
1108,2/16/2020 3:00,Bangalore,127,ASSAULT,46,F,Other,Violent Crime,Yes,16-03-2020 10:00,Koramangala,12.9352,77.6142
1109,2/16/2020 4:00,Pune,103,ARSON,25,F,Other,Fire Accident,No,,Tadiwala Road,18.5193,73.8794
1110,2/16/2020 5:00,Kolkata,494,COUNTERFEITING,39,F,Blunt Object,Other Crime,Yes,17-05-2020 10:00,Park Street,22.5531,88.3501
1111,2/16/2020 6:00,Delhi,448,ROBBERY,60,M,Explosives,Violent Crime,No,,Dwarka,28.5921,77.046
1112,2/16/2020 7:00,Pune,424,IDENTITY THEFT,46,F,None,Violent Crime,No,,Tadiwala Road,18.5193,73.8794
1113,2/16/2020 8:00,Pune,487,BURGLARY,25,F,Explosives,Other Crime,Yes,8/4/2020 11:00,Viman Nagar,18.5679,73.9143
1114,2/16/2020 9:00,Delhi,432,KIDNAPPING,23,F,None,Other Crime,Yes,17-04-2020 12:00,Dwarka,28.5921,77.046
1116,2/16/2020 11:00,Mumbai,462,CYBERCRIME,56,M,Firearm,Other Crime,Yes,23-03-2020 04:00,Andheri,19.1197,72.8468
1117,2/16/2020 12:00,Jaipur,484,KIDNAPPING,36,F,None,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1118,2/16/2020 13:00,Lucknow,485,ROBBERY,18,M,Blunt Object,Violent Crime,No,,Gomti Nagar,26.8467,81
1120,2/16/2020 15:00,Delhi,257,ILLEGAL POSSESSION,23,F,Poison,Other Crime,Yes,8/4/2020 11:00,Rohini,28.7492,77.0574
1121,2/16/2020 16:00,Chennai,241,ASSAULT,33,M,Blunt Object,Violent Crime,No,,T. Nagar,13.042,80.2337
1123,2/16/2020 18:00,Bangalore,318,IDENTITY THEFT,27,F,Explosives,Violent Crime,No,,Whitefield,12.9698,77.7499
1125,2/16/2020 20:00,Lucknow,522,SEXUAL ASSAULT,46,F,None,Violent Crime,Yes,1/11/2020 7:00,Hazratganj,26.8508,80.9462
1127,2/16/2020 22:00,Bangalore,334,EXTORTION,63,M,Other,Other Crime,Yes,21-03-2020 10:00,Whitefield,12.9698,77.7499
1130,2/17/2020 1:00,Delhi,373,HOMICIDE,78,F,Poison,Other Crime,No,,Rohini,28.7492,77.0574
1131,2/17/2020 2:00,Lucknow,537,VEHICLE - STOLEN,70,F,None,Violent Crime,No,,Alambagh,26.7923,80.8899
1132,2/17/2020 3:00,Pune,456,CYBERCRIME,75,M,Blunt Object,Other Crime,No,,Tadiwala Road,18.5193,73.8794
1133,2/17/2020 4:00,Bangalore,417,ILLEGAL POSSESSION,60,M,Poison,Other Crime,Yes,5/4/2020 14:00,Whitefield,12.9698,77.7499
1134,2/17/2020 5:00,Delhi,542,SEXUAL ASSAULT,34,M,Explosives,Violent Crime,No,,Saket,28.5206,77.2073
1135,2/17/2020 6:00,Kolkata,321,IDENTITY THEFT,10,F,Firearm,Violent Crime,Yes,4/3/2020 16:00,Behala,22.501,88.3141
1138,2/17/2020 9:00,Mumbai,114,TRAFFIC VIOLATION,67,F,Knife,Traffic Fatality,No,,Bandra,19.0606,72.8366
1139,2/17/2020 10:00,Mumbai,260,VEHICLE - STOLEN,40,F,Blunt Object,Violent Crime,Yes,26-02-2020 13:00,Andheri,19.1197,72.8468
1141,2/17/2020 12:00,Hyderabad,409,EXTORTION,16,F,Blunt Object,Other Crime,Yes,1/3/2020 6:00,Banjara Hills,17.4123,78.4296
1142,2/17/2020 13:00,Jaipur,123,KIDNAPPING,66,F,Explosives,Other Crime,Yes,11/5/2020 5:00,Vaishali Nagar,26.9196,75.7395
1145,2/17/2020 16:00,Mumbai,179,CYBERCRIME,45,F,Explosives,Other Crime,Yes,2/5/2020 0:00,Andheri,19.1197,72.8468
1146,2/17/2020 17:00,Jaipur,548,DRUG OFFENSE,56,F,Other,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1147,2/17/2020 18:00,Pune,116,FRAUD,62,F,Other,Other Crime,Yes,4/3/2020 3:00,Budhwar Peth,18.5167,73.855
1148,2/17/2020 19:00,Ahmedabad,101,BURGLARY,78,F,None,Other Crime,Yes,6/8/2020 4:00,Maninagar,22.9921,72.6036
1149,2/17/2020 20:00,Hyderabad,571,SEXUAL ASSAULT,64,F,Knife,Violent Crime,No,,Banjara Hills,17.4123,78.4296
1150,2/17/2020 21:00,Mumbai,249,PUBLIC INTOXICATION,60,F,None,Other Crime,No,,Bandra,19.0606,72.8366
1151,2/17/2020 22:00,Jaipur,472,VEHICLE - STOLEN,30,F,Poison,Violent Crime,Yes,5/3/2020 0:00,Mansarovar,26.8554,75.7705
1152,2/17/2020 23:00,Mumbai,122,ARSON,38,M,Poison,Fire Accident,Yes,10/4/2020 13:00,Dadar,19.0184,72.8436
1153,2/18/2020 0:00,Kolkata,277,ILLEGAL POSSESSION,76,F,None,Other Crime,Yes,14-04-2020 05:00,Park Street,22.5531,88.3501
1154,2/18/2020 1:00,Delhi,400,FRAUD,41,M,None,Other Crime,Yes,7/3/2020 21:00,Saket,28.5206,77.2073
1155,2/18/2020 2:00,Delhi,210,CYBERCRIME,72,F,None,Other Crime,Yes,6/4/2020 7:00,Dwarka,28.5921,77.046
1157,2/18/2020 4:00,Bangalore,577,TRAFFIC VIOLATION,26,F,Knife,Traffic Fatality,Yes,13-03-2020 20:00,Whitefield,12.9698,77.7499
1161,2/18/2020 8:00,Jaipur,197,ROBBERY,32,F,Explosives,Violent Crime,Yes,5/8/2020 6:00,Vaishali Nagar,26.9196,75.7395
1162,2/18/2020 9:00,Delhi,276,VANDALISM,78,M,None,Other Crime,Yes,3/3/2020 15:00,Dwarka,28.5921,77.046
1164,2/18/2020 11:00,Chennai,109,ASSAULT,12,F,Blunt Object,Violent Crime,No,,T. Nagar,13.042,80.2337
1165,2/18/2020 12:00,Bangalore,210,FIREARM OFFENSE,57,F,Poison,Fire Accident,Yes,11/3/2020 23:00,Whitefield,12.9698,77.7499
1167,2/18/2020 14:00,Kolkata,548,ASSAULT,73,M,Knife,Violent Crime,Yes,2/4/2020 4:00,Park Street,22.5531,88.3501
1169,2/18/2020 16:00,Delhi,309,FIREARM OFFENSE,69,M,Explosives,Fire Accident,Yes,14-03-2020 12:00,Dwarka,28.5921,77.046
1170,2/18/2020 17:00,Ahmedabad,225,VEHICLE - STOLEN,36,M,Explosives,Violent Crime,No,,Navrangpura,23.0422,72.5551
1171,2/18/2020 18:00,Hyderabad,275,EXTORTION,56,M,Other,Other Crime,No,,Begumpet,17.444,78.4637
1172,2/18/2020 19:00,Lucknow,240,ARSON,38,F,Knife,Fire Accident,No,,Hazratganj,26.8508,80.9462
1173,2/18/2020 20:00,Mumbai,360,FIREARM OFFENSE,31,F,Other,Fire Accident,Yes,15-04-2020 06:00,Andheri,19.1197,72.8468
1175,2/18/2020 22:00,Lucknow,353,ILLEGAL POSSESSION,54,F,Explosives,Other Crime,Yes,17-03-2020 07:00,Gomti Nagar,26.8467,81
1177,2/19/2020 0:00,Ahmedabad,510,EXTORTION,47,M,None,Other Crime,No,,Navrangpura,23.0422,72.5551
1178,2/19/2020 1:00,Bangalore,137,KIDNAPPING,70,F,None,Other Crime,No,,Koramangala,12.9352,77.6142
1179,2/19/2020 2:00,Jaipur,206,FRAUD,71,F,Poison,Other Crime,Yes,27-03-2020 06:00,Vaishali Nagar,26.9196,75.7395
1183,2/19/2020 6:00,Ahmedabad,563,IDENTITY THEFT,77,F,Knife,Violent Crime,Yes,29-04-2020 19:00,Navrangpura,23.0422,72.5551
1185,2/19/2020 8:00,Ahmedabad,460,PUBLIC INTOXICATION,64,M,Other,Other Crime,No,,Navrangpura,23.0422,72.5551
1186,2/19/2020 9:00,Hyderabad,457,EXTORTION,25,F,Other,Other Crime,Yes,7/3/2020 19:00,Banjara Hills,17.4123,78.4296
1187,2/19/2020 10:00,Delhi,284,DRUG OFFENSE,75,F,Blunt Object,Other Crime,Yes,18-05-2020 15:00,Dwarka,28.5921,77.046
1188,2/19/2020 11:00,Bangalore,424,HOMICIDE,70,F,Blunt Object,Other Crime,Yes,1/8/2021 5:00,Koramangala,12.9352,77.6142
1189,2/19/2020 12:00,Mumbai,136,SHOPLIFTING,39,F,Explosives,Other Crime,No,,Dadar,19.0184,72.8436
1190,2/19/2020 13:00,Hyderabad,549,KIDNAPPING,27,M,Poison,Other Crime,Yes,14-03-2020 07:00,Banjara Hills,17.4123,78.4296
1192,2/19/2020 15:00,Mumbai,143,VEHICLE - STOLEN,65,F,Poison,Violent Crime,No,,Bandra,19.0606,72.8366
1195,2/19/2020 18:00,Mumbai,221,HOMICIDE,77,M,None,Other Crime,No,,Dadar,19.0184,72.8436
1196,2/19/2020 19:00,Mumbai,470,ROBBERY,43,M,Other,Violent Crime,Yes,24-06-2020 11:00,Andheri,19.1197,72.8468
1197,2/19/2020 20:00,Bangalore,410,CYBERCRIME,65,F,Blunt Object,Other Crime,Yes,6/4/2020 0:00,Whitefield,12.9698,77.7499
1198,2/19/2020 21:00,Pune,327,VANDALISM,64,F,Knife,Other Crime,No,,Tadiwala Road,18.5193,73.8794
1200,2/19/2020 23:00,Chennai,437,COUNTERFEITING,72,M,Poison,Other Crime,No,,Velachery,12.9784,80.2209
1201,2/20/2020 0:00,Mumbai,348,ASSAULT,24,F,Poison,Violent Crime,No,,Dadar,19.0184,72.8436
1202,2/20/2020 1:00,Ahmedabad,330,FIREARM OFFENSE,23,M,Explosives,Fire Accident,Yes,7/4/2020 1:00,Satellite,23.03,72.5171
1203,2/20/2020 2:00,Kolkata,386,VEHICLE - STOLEN,14,F,Knife,Violent Crime,Yes,22-04-2020 11:00,Park Street,22.5531,88.3501
1204,2/20/2020 3:00,Mumbai,222,COUNTERFEITING,23,F,Poison,Other Crime,Yes,17-04-2020 08:00,Bandra,19.0606,72.8366
1205,2/20/2020 4:00,Pune,491,DOMESTIC VIOLENCE,64,M,Knife,Violent Crime,No,,Kasba Peth,18.5196,73.8574
1207,2/20/2020 6:00,Ahmedabad,416,CYBERCRIME,41,M,Other,Other Crime,No,,Navrangpura,23.0422,72.5551
1208,2/20/2020 7:00,Kolkata,532,HOMICIDE,52,M,Knife,Other Crime,No,,Park Street,22.5531,88.3501
1209,2/20/2020 8:00,Chennai,249,DOMESTIC VIOLENCE,33,F,None,Violent Crime,Yes,23-04-2020 23:00,Adyar,13.0067,80.257
1212,2/20/2020 11:00,Bangalore,572,FIREARM OFFENSE,76,M,Blunt Object,Fire Accident,No,,Whitefield,12.9698,77.7499
1213,2/20/2020 12:00,Chennai,147,KIDNAPPING,73,F,Other,Other Crime,Yes,14-05-2020 18:00,Adyar,13.0067,80.257
1214,2/20/2020 13:00,Mumbai,452,KIDNAPPING,62,F,Firearm,Other Crime,No,,Andheri,19.1197,72.8468
1217,2/20/2020 16:00,Pune,511,ROBBERY,60,M,Explosives,Violent Crime,Yes,24-05-2020 22:00,Hadapsar,18.4967,73.9347
1218,2/20/2020 17:00,Delhi,451,DOMESTIC VIOLENCE,79,F,Poison,Violent Crime,No,,Saket,28.5206,77.2073
1219,2/20/2020 18:00,Mumbai,289,ASSAULT,43,M,Blunt Object,Violent Crime,No,,Andheri,19.1197,72.8468
1220,2/20/2020 19:00,Bangalore,445,SHOPLIFTING,79,M,Explosives,Other Crime,No,,Koramangala,12.9352,77.6142
1222,2/20/2020 21:00,Delhi,546,DOMESTIC VIOLENCE,73,F,None,Violent Crime,No,,Rohini,28.7492,77.0574
1223,2/20/2020 22:00,Jaipur,295,BURGLARY,13,F,Knife,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1224,2/20/2020 23:00,Bangalore,302,DRUG OFFENSE,59,F,None,Other Crime,No,,Whitefield,12.9698,77.7499
1225,2/21/2020 0:00,Delhi,146,SEXUAL ASSAULT,56,F,Firearm,Violent Crime,No,,Rohini,28.7492,77.0574
1226,2/21/2020 1:00,Mumbai,310,SHOPLIFTING,44,F,Knife,Other Crime,Yes,1/3/2020 10:00,Bandra,19.0606,72.8366
1228,2/21/2020 3:00,Mumbai,234,COUNTERFEITING,40,F,Other,Other Crime,No,,Dadar,19.0184,72.8436
1229,2/21/2020 4:00,Mumbai,171,IDENTITY THEFT,73,M,Blunt Object,Violent Crime,Yes,15-05-2020 12:00,Dadar,19.0184,72.8436
1230,2/21/2020 5:00,Pune,199,ARSON,51,M,None,Fire Accident,No,,Budhwar Peth,18.5167,73.855
1231,2/21/2020 6:00,Kolkata,203,FRAUD,70,F,Blunt Object,Other Crime,No,,Behala,22.501,88.3141
1232,2/21/2020 7:00,Mumbai,181,SEXUAL ASSAULT,16,M,None,Violent Crime,No,,Andheri,19.1197,72.8468
1234,2/21/2020 9:00,Pune,380,ASSAULT,22,F,Knife,Violent Crime,No,,Kasba Peth,18.5196,73.8574
1235,2/21/2020 10:00,Pune,333,BURGLARY,62,M,Other,Other Crime,Yes,9/7/2020 19:00,Kothrud,18.5096,73.8077
1236,2/21/2020 11:00,Jaipur,395,IDENTITY THEFT,30,F,Knife,Violent Crime,No,,Mansarovar,26.8554,75.7705
1237,2/21/2020 12:00,Kolkata,453,DOMESTIC VIOLENCE,56,F,Knife,Violent Crime,No,,Behala,22.501,88.3141
1238,2/21/2020 13:00,Bangalore,201,ASSAULT,51,F,Blunt Object,Violent Crime,Yes,8/4/2020 19:00,Koramangala,12.9352,77.6142
1239,2/21/2020 14:00,Hyderabad,569,DOMESTIC VIOLENCE,18,F,None,Violent Crime,No,,Banjara Hills,17.4123,78.4296
1241,2/21/2020 16:00,Mumbai,117,FRAUD,40,M,Other,Other Crime,Yes,1/4/2020 3:00,Andheri,19.1197,72.8468
1242,2/21/2020 17:00,Hyderabad,348,FIREARM OFFENSE,28,F,Blunt Object,Fire Accident,Yes,15-05-2020 14:00,Begumpet,17.444,78.4637
1243,2/21/2020 18:00,Pune,595,COUNTERFEITING,55,F,Other,Other Crime,Yes,23-05-2020 11:00,Yerawada,18.5575,73.899
1244,2/21/2020 19:00,Delhi,573,ARSON,14,M,Knife,Fire Accident,No,,Dwarka,28.5921,77.046
1245,2/21/2020 20:00,Mumbai,417,FRAUD,14,F,Blunt Object,Other Crime,No,,Andheri,19.1197,72.8468
1246,2/21/2020 21:00,Pune,490,KIDNAPPING,43,M,Poison,Other Crime,Yes,11/3/2020 20:00,Hadapsar,18.4967,73.9347
1247,2/21/2020 22:00,Kolkata,134,ARSON,76,M,Poison,Fire Accident,No,,Salt Lake,22.5867,88.417
1248,2/21/2020 23:00,Hyderabad,583,PUBLIC INTOXICATION,17,M,Firearm,Other Crime,Yes,15-03-2020 01:00,Banjara Hills,17.4123,78.4296
1249,2/22/2020 0:00,Delhi,234,IDENTITY THEFT,24,F,Explosives,Violent Crime,Yes,28-03-2020 14:00,Dwarka,28.5921,77.046
1250,2/22/2020 1:00,Hyderabad,225,HOMICIDE,60,F,None,Other Crime,No,,Gachibowli,17.4448,78.3498
1251,2/22/2020 2:00,Hyderabad,247,HOMICIDE,31,M,Firearm,Other Crime,No,,Gachibowli,17.4448,78.3498
1252,2/22/2020 3:00,Bangalore,411,ILLEGAL POSSESSION,30,F,None,Other Crime,Yes,25-04-2020 04:00,Whitefield,12.9698,77.7499
1254,2/22/2020 5:00,Delhi,542,HOMICIDE,67,F,None,Other Crime,Yes,28-09-2021 21:00,Dwarka,28.5921,77.046
1260,2/22/2020 11:00,Bangalore,234,CYBERCRIME,65,M,Firearm,Other Crime,Yes,23-04-2020 08:00,Indiranagar,12.9716,77.6408
1261,2/22/2020 12:00,Delhi,476,COUNTERFEITING,66,M,Blunt Object,Other Crime,Yes,14-03-2020 05:00,Rohini,28.7492,77.0574
1262,2/22/2020 13:00,Delhi,216,FRAUD,21,F,Firearm,Other Crime,Yes,3/3/2020 7:00,Rohini,28.7492,77.0574
1263,2/22/2020 14:00,Pune,122,HOMICIDE,49,F,Blunt Object,Other Crime,No,,Kalyani Nagar,18.5485,73.9028
1264,2/22/2020 15:00,Mumbai,175,FIREARM OFFENSE,30,F,Blunt Object,Fire Accident,No,,Andheri,19.1197,72.8468
1266,2/22/2020 17:00,Kolkata,485,ARSON,22,M,Poison,Fire Accident,No,,Salt Lake,22.5867,88.417
1267,2/22/2020 18:00,Delhi,256,KIDNAPPING,58,F,Other,Other Crime,Yes,19-05-2020 15:00,Saket,28.5206,77.2073
1268,2/22/2020 19:00,Bangalore,372,ROBBERY,36,F,None,Violent Crime,No,,Whitefield,12.9698,77.7499
1269,2/22/2020 20:00,Jaipur,277,COUNTERFEITING,53,F,Firearm,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1270,2/22/2020 21:00,Hyderabad,202,SEXUAL ASSAULT,49,M,Firearm,Violent Crime,Yes,7/11/2020 17:00,Gachibowli,17.4448,78.3498
1271,2/22/2020 22:00,Jaipur,486,PUBLIC INTOXICATION,62,M,None,Other Crime,No,,Mansarovar,26.8554,75.7705
1272,2/22/2020 23:00,Chennai,506,BURGLARY,30,F,Blunt Object,Other Crime,No,,Adyar,13.0067,80.257
1273,2/23/2020 0:00,Delhi,431,FIREARM OFFENSE,16,M,Explosives,Fire Accident,No,,Rohini,28.7492,77.0574
1274,2/23/2020 1:00,Pune,322,PUBLIC INTOXICATION,73,M,Poison,Other Crime,No,,Kasba Peth,18.5196,73.8574
1275,2/23/2020 2:00,Ahmedabad,470,FRAUD,79,F,None,Other Crime,No,,Navrangpura,23.0422,72.5551
1278,2/23/2020 5:00,Delhi,592,DOMESTIC VIOLENCE,27,M,None,Violent Crime,No,,Saket,28.5206,77.2073
1280,2/23/2020 7:00,Kolkata,525,ILLEGAL POSSESSION,40,F,Blunt Object,Other Crime,No,,Salt Lake,22.5867,88.417
1282,2/23/2020 9:00,Delhi,149,CYBERCRIME,31,F,Other,Other Crime,No,,Saket,28.5206,77.2073
1283,2/23/2020 10:00,Pune,160,BURGLARY,57,F,Poison,Other Crime,No,,Kasba Peth,18.5196,73.8574
1285,2/23/2020 12:00,Mumbai,245,HOMICIDE,70,M,Poison,Other Crime,No,,Bandra,19.0606,72.8366
1286,2/23/2020 13:00,Jaipur,245,EXTORTION,74,M,None,Other Crime,No,,Mansarovar,26.8554,75.7705
1287,2/23/2020 14:00,Mumbai,423,FIREARM OFFENSE,43,M,Firearm,Fire Accident,No,,Bandra,19.0606,72.8366
1289,2/23/2020 16:00,Hyderabad,346,ASSAULT,27,M,Firearm,Violent Crime,No,,Banjara Hills,17.4123,78.4296
1290,2/23/2020 17:00,Jaipur,270,SHOPLIFTING,51,F,Knife,Other Crime,No,,Vaishali Nagar,26.9196,75.7395
1291,2/23/2020 18:00,Chennai,470,EXTORTION,59,F,Firearm,Other Crime,Yes,31-03-2020 07:00,T. Nagar,13.042,80.2337
1296,2/23/2020 23:00,Kolkata,373,FIREARM OFFENSE,67,M,None,Fire Accident,Yes,15-05-2020 01:00,Behala,22.501,88.3141
1298,2/24/2020 1:00,Ahmedabad,558,DRUG OFFENSE,13,F,Knife,Other Crime,Yes,22-03-2020 22:00,Satellite,23.03,72.5171
1300,2/24/2020 3:00,Hyderabad,454,SEXUAL ASSAULT,28,M,None,Violent Crime,Yes,7/12/2020 18:00,Begumpet,17.444,78.4637
