city,area,latitude,longitude,risk_level,crime_description
Jaipur,Mansarovar,26.8554,75.7705,Medium,EXTORTION
Mumbai,Andheri,19.1197,72.8468,High,SEXUAL ASSAULT
Hyderabad,Gachibowli,17.4448,78.3498,Medium,EXTORTION
Mumbai,Bandra,19.0606,72.8366,High,SEXUAL ASSAULT
Kolkata,Park Street,22.5531,88.3501,High,HOMICIDE
Chennai,Adyar,13.0067,80.257,Medium,ILLEGAL POSSESSION
Jaipur,Malviya Nagar,26.8497,75.818,Medium,DRUG OFFENSE
Delhi,Rohini,28.7492,77.0574,High,SEXUAL ASSAULT
Pune,Budhwar Peth,18.5167,73.855,Low,ROBBERY
Bangalore,Whitefield,12.9698,77.7499,Low,VANDALISM
Hyderabad,Gachibowli,17.4448,78.3498,Low,DOMESTIC VIOLENCE
Mumbai,Andheri,19.1197,72.8468,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Pune,Kasba Peth,18.5196,73.8574,Low,SHOPLIFTING
Delhi,Saket,28.5206,77.2073,Low,ROBBERY
Bangalore,Indiranagar,12.9716,77.6408,Medium,ILLEGAL POSSESSION
Chennai,Adyar,13.0067,80.257,Low,ROBBERY
Delhi,Dwarka,28.5921,77.046,Low,TRAFFIC VIOLATION
Pune,Yerawada,18.5575,73.899,Low,ARSON
Lucknow,Alambagh,26.7923,80.8899,High,SEXUAL ASSAULT
Chennai,T. Nagar,13.042,80.2337,Medium,FIREARM OFFENSE
Chennai,T. Nagar,13.042,80.2337,Low,IDENTITY THEFT
Delhi,Rohini,28.7492,77.0574,Low,VEHICLE - STOLEN
Jaipur,Malviya Nagar,26.8497,75.818,Medium,ASSAULT
Hyderabad,Begumpet,17.444,78.4637,Medium,FIREARM OFFENSE
Pune,Yerawada,18.5575,73.899,Low,HOMICIDE
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Ahmedabad,Maninagar,22.9921,72.6036,Medium,DRUG OFFENSE
Lucknow,Alambagh,26.7923,80.8899,Medium,DRUG OFFENSE
Mumbai,Andheri,19.1197,72.8468,Medium,EXTORTION
Delhi,Dwarka,28.5921,77.046,Low,CYBERCRIME
Mumbai,Andheri,19.1197,72.8468,Low,CYBERCRIME
Lucknow,Gomti Nagar,26.8467,81.0,Low,IDENTITY THEFT
Mumbai,Dadar,19.0184,72.8436,High,KIDNAPPING
Delhi,Rohini,28.7492,77.0574,Low,ARSON
Kolkata,Behala,22.501,88.3141,Low,VANDALISM
Chennai,Adyar,13.0067,80.257,Low,DOMESTIC VIOLENCE
Ahmedabad,Maninagar,22.9921,72.6036,Low,SHOPLIFTING
Pune,Viman Nagar,18.5679,73.9143,Low,FRAUD
Ahmedabad,Navrangpura,23.0422,72.5551,Low,DOMESTIC VIOLENCE
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,VEHICLE - STOLEN
Chennai,Velachery,12.9784,80.2209,Low,TRAFFIC VIOLATION
Kolkata,Salt Lake,22.5867,88.417,High,KIDNAPPING
Mumbai,Bandra,19.0606,72.8366,High,SEXUAL ASSAULT
Hyderabad,Begumpet,17.444,78.4637,Medium,ASSAULT
Mumbai,Bandra,19.0606,72.8366,Medium,DRUG OFFENSE
Delhi,Saket,28.5206,77.2073,Low,DOMESTIC VIOLENCE
Delhi,Saket,28.5206,77.2073,High,HOMICIDE
Pune,Budhwar Peth,18.5167,73.855,High,HOMICIDE
Delhi,Dwarka,28.5921,77.046,Medium,PUBLIC INTOXICATION
Bangalore,Indiranagar,12.9716,77.6408,Medium,EXTORTION
Mumbai,Bandra,19.0606,72.8366,Medium,FIREARM OFFENSE
Chennai,Adyar,13.0067,80.257,Low,ARSON
Chennai,Velachery,12.9784,80.2209,High,SEXUAL ASSAULT
Pune,Viman Nagar,18.5679,73.9143,Low,SHOPLIFTING
Delhi,Rohini,28.7492,77.0574,Low,VANDALISM
Kolkata,Behala,22.501,88.3141,Low,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,Low,IDENTITY THEFT
Bangalore,Koramangala,12.9352,77.6142,Medium,FIREARM OFFENSE
Delhi,Dwarka,28.5921,77.046,Medium,DRUG OFFENSE
Delhi,Rohini,28.7492,77.0574,Low,VANDALISM
Delhi,Saket,28.5206,77.2073,Low,VEHICLE - STOLEN
Delhi,Rohini,28.7492,77.0574,Low,CYBERCRIME
Kolkata,Behala,22.501,88.3141,Low,TRAFFIC VIOLATION
Mumbai,Bandra,19.0606,72.8366,Low,BURGLARY
Mumbai,Andheri,19.1197,72.8468,Low,VANDALISM
Ahmedabad,Navrangpura,23.0422,72.5551,Low,COUNTERFEITING
Delhi,Saket,28.5206,77.2073,Medium,ASSAULT
Delhi,Dwarka,28.5921,77.046,Medium,ASSAULT
Delhi,Saket,28.5206,77.2073,Medium,ILLEGAL POSSESSION
Kolkata,Behala,22.501,88.3141,Medium,EXTORTION
Ahmedabad,Satellite,23.03,72.5171,Low,VEHICLE - STOLEN
Kolkata,Salt Lake,22.5867,88.417,Low,COUNTERFEITING
Hyderabad,Gachibowli,17.4448,78.3498,High,CYBERCRIME
Bangalore,Koramangala,12.9352,77.6142,Low,ROBBERY
Delhi,Rohini,28.7492,77.0574,High,SEXUAL ASSAULT
Chennai,Adyar,13.0067,80.257,Low,DOMESTIC VIOLENCE
Mumbai,Dadar,19.0184,72.8436,Low,FRAUD
Delhi,Dwarka,28.5921,77.046,Medium,FIREARM OFFENSE
Delhi,Dwarka,28.5921,77.046,Low,BURGLARY
Bangalore,Whitefield,12.9698,77.7499,Medium,EXTORTION
Delhi,Dwarka,28.5921,77.046,Medium,ASSAULT
Ahmedabad,Satellite,23.03,72.5171,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,Low,VANDALISM
Ahmedabad,Satellite,23.03,72.5171,Low,TRAFFIC VIOLATION
Hyderabad,Begumpet,17.444,78.4637,High,DOMESTIC VIOLENCE
Bangalore,Whitefield,12.9698,77.7499,Medium,EXTORTION
Mumbai,Bandra,19.0606,72.8366,Low,SHOPLIFTING
Pune,Budhwar Peth,18.5167,73.855,High,DOMESTIC VIOLENCE
Ahmedabad,Navrangpura,23.0422,72.5551,Low,FRAUD
Delhi,Saket,28.5206,77.2073,Medium,PUBLIC INTOXICATION
Hyderabad,Begumpet,17.444,78.4637,Low,TRAFFIC VIOLATION
Hyderabad,Banjara Hills,17.4123,78.4296,Low,VANDALISM
Delhi,Saket,28.5206,77.2073,Medium,ROBBERY
Pune,Budhwar Peth,18.5167,73.855,Low,IDENTITY THEFT
Bangalore,Indiranagar,12.9716,77.6408,Low,VANDALISM
Ahmedabad,Maninagar,22.9921,72.6036,Medium,FIREARM OFFENSE
Mumbai,Dadar,19.0184,72.8436,High,DOMESTIC VIOLENCE
Delhi,Rohini,28.7492,77.0574,Medium,ILLEGAL POSSESSION
Lucknow,Alambagh,26.7923,80.8899,Low,VEHICLE - STOLEN
Hyderabad,Banjara Hills,17.4123,78.4296,Low,COUNTERFEITING
Jaipur,Malviya Nagar,26.8497,75.818,Low,BURGLARY
Pune,Viman Nagar,18.5679,73.9143,Medium,ILLEGAL POSSESSION
Mumbai,Andheri,19.1197,72.8468,Low,SHOPLIFTING
Kolkata,Salt Lake,22.5867,88.417,Medium,ILLEGAL POSSESSION
Pune,Budhwar Peth,18.5167,73.855,Low,VANDALISM
Ahmedabad,Navrangpura,23.0422,72.5551,Low,PUBLIC INTOXICATION
Lucknow,Gomti Nagar,26.8467,81.0,Medium,ILLEGAL POSSESSION
Kolkata,Behala,22.501,88.3141,High,COUNTERFEITING
Pune,Kasba Peth,18.5196,73.8574,Medium,ASSAULT
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,DRUG OFFENSE
Bangalore,Koramangala,12.9352,77.6142,Medium,ASSAULT
Mumbai,Andheri,19.1197,72.8468,High,SEXUAL ASSAULT
Delhi,Saket,28.5206,77.2073,Low,DOMESTIC VIOLENCE
Ahmedabad,Satellite,23.03,72.5171,Medium,ILLEGAL POSSESSION
Delhi,Dwarka,28.5921,77.046,Low,DOMESTIC VIOLENCE
Delhi,Dwarka,28.5921,77.046,Low,SHOPLIFTING
Kolkata,Behala,22.501,88.3141,Medium,FIREARM OFFENSE
Delhi,Rohini,28.7492,77.0574,Low,ROBBERY
Bangalore,Koramangala,12.9352,77.6142,Low,TRAFFIC VIOLATION
Delhi,Saket,28.5206,77.2073,Low,COUNTERFEITING
Hyderabad,Gachibowli,17.4448,78.3498,Low,DOMESTIC VIOLENCE
Chennai,T. Nagar,13.042,80.2337,Medium,ASSAULT
Kolkata,Park Street,22.5531,88.3501,Low,CYBERCRIME
Bangalore,Indiranagar,12.9716,77.6408,Low,ROBBERY
Kolkata,Park Street,22.5531,88.3501,Low,VANDALISM
Ahmedabad,Maninagar,22.9921,72.6036,Low,ARSON
Ahmedabad,Maninagar,22.9921,72.6036,Low,CYBERCRIME
Delhi,Dwarka,28.5921,77.046,Low,SHOPLIFTING
Mumbai,Andheri,19.1197,72.8468,Low,TRAFFIC VIOLATION
Chennai,T. Nagar,13.042,80.2337,Low,TRAFFIC VIOLATION
Delhi,Rohini,28.7492,77.0574,Medium,PUBLIC INTOXICATION
Delhi,Dwarka,28.5921,77.046,Low,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,High,KIDNAPPING
Pune,Viman Nagar,18.5679,73.9143,Low,COUNTERFEITING
Ahmedabad,Maninagar,22.9921,72.6036,Low,BURGLARY
Delhi,Dwarka,28.5921,77.046,Medium,ILLEGAL POSSESSION
Chennai,Velachery,12.9784,80.2209,Low,ARSON
Chennai,T. Nagar,13.042,80.2337,Low,CYBERCRIME
Pune,Tadiwala Road,18.5193,73.8794,High,DOMESTIC VIOLENCE
Bangalore,Indiranagar,12.9716,77.6408,Low,VANDALISM
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,PUBLIC INTOXICATION
Pune,Kasba Peth,18.5196,73.8574,Low,IDENTITY THEFT
Delhi,Saket,28.5206,77.2073,Medium,DRUG OFFENSE
Chennai,T. Nagar,13.042,80.2337,Medium,PUBLIC INTOXICATION
Lucknow,Alambagh,26.7923,80.8899,Low,BURGLARY
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,ROBBERY
Bangalore,Koramangala,12.9352,77.6142,Low,CYBERCRIME
Chennai,Velachery,12.9784,80.2209,Medium,ILLEGAL POSSESSION
Chennai,Adyar,13.0067,80.257,Low,COUNTERFEITING
Bangalore,Koramangala,12.9352,77.6142,Low,SHOPLIFTING
Bangalore,Whitefield,12.9698,77.7499,Low,ARSON
Ahmedabad,Maninagar,22.9921,72.6036,Low,DOMESTIC VIOLENCE
Mumbai,Dadar,19.0184,72.8436,Low,VEHICLE - STOLEN
Mumbai,Andheri,19.1197,72.8468,High,SEXUAL ASSAULT
Chennai,Velachery,12.9784,80.2209,Low,BURGLARY
Pune,Viman Nagar,18.5679,73.9143,Low,ROBBERY
Delhi,Rohini,28.7492,77.0574,High,HOMICIDE
Delhi,Dwarka,28.5921,77.046,Low,COUNTERFEITING
Pune,Yerawada,18.5575,73.899,High,DOMESTIC VIOLENCE
Hyderabad,Gachibowli,17.4448,78.3498,Low,PUBLIC INTOXICATION
Delhi,Rohini,28.7492,77.0574,Medium,EXTORTION
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,ILLEGAL POSSESSION
Bangalore,Whitefield,12.9698,77.7499,Low,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,High,KIDNAPPING
Bangalore,Koramangala,12.9352,77.6142,Low,ROBBERY
Delhi,Dwarka,28.5921,77.046,Low,TRAFFIC VIOLATION
Delhi,Dwarka,28.5921,77.046,Medium,PUBLIC INTOXICATION
Bangalore,Whitefield,12.9698,77.7499,High,CYBERCRIME
Delhi,Dwarka,28.5921,77.046,High,KIDNAPPING
Lucknow,Hazratganj,26.8508,80.9462,Medium,ROBBERY
Hyderabad,Begumpet,17.444,78.4637,High,CYBERCRIME
Jaipur,Mansarovar,26.8554,75.7705,High,COUNTERFEITING
Hyderabad,Begumpet,17.444,78.4637,Medium,ROBBERY
Mumbai,Dadar,19.0184,72.8436,Low,VANDALISM
Hyderabad,Begumpet,17.444,78.4637,High,SEXUAL ASSAULT
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Mumbai,Bandra,19.0606,72.8366,Low,DOMESTIC VIOLENCE
Bangalore,Indiranagar,12.9716,77.6408,Medium,DRUG OFFENSE
Bangalore,Whitefield,12.9698,77.7499,Medium,FIREARM OFFENSE
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,EXTORTION
Kolkata,Salt Lake,22.5867,88.417,Medium,ILLEGAL POSSESSION
Mumbai,Dadar,19.0184,72.8436,High,HOMICIDE
Delhi,Rohini,28.7492,77.0574,Medium,ILLEGAL POSSESSION
Delhi,Dwarka,28.5921,77.046,Medium,ILLEGAL POSSESSION
Delhi,Dwarka,28.5921,77.046,Low,ARSON
Kolkata,Park Street,22.5531,88.3501,High,COUNTERFEITING
Mumbai,Andheri,19.1197,72.8468,Low,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,Low,VEHICLE - STOLEN
Bangalore,Koramangala,12.9352,77.6142,High,HOMICIDE
Kolkata,Park Street,22.5531,88.3501,Medium,FIREARM OFFENSE
Mumbai,Bandra,19.0606,72.8366,Low,COUNTERFEITING
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,DRUG OFFENSE
Kolkata,Park Street,22.5531,88.3501,High,SEXUAL ASSAULT
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,FIREARM OFFENSE
Chennai,Adyar,13.0067,80.257,Low,ARSON
Kolkata,Salt Lake,22.5867,88.417,Low,ROBBERY
Delhi,Saket,28.5206,77.2073,Medium,FIREARM OFFENSE
Mumbai,Bandra,19.0606,72.8366,Medium,ASSAULT
Lucknow,Hazratganj,26.8508,80.9462,High,COUNTERFEITING
Bangalore,Koramangala,12.9352,77.6142,Low,ROBBERY
Pune,Kondhwa,18.4575,73.8901,High,KIDNAPPING
Delhi,Rohini,28.7492,77.0574,Low,VEHICLE - STOLEN
Hyderabad,Gachibowli,17.4448,78.3498,Low,PUBLIC INTOXICATION
Bangalore,Indiranagar,12.9716,77.6408,High,CYBERCRIME
Delhi,Dwarka,28.5921,77.046,High,SEXUAL ASSAULT
Ahmedabad,Maninagar,22.9921,72.6036,Medium,FIREARM OFFENSE
Kolkata,Salt Lake,22.5867,88.417,Low,DOMESTIC VIOLENCE
Bangalore,Koramangala,12.9352,77.6142,Medium,FIREARM OFFENSE
Delhi,Rohini,28.7492,77.0574,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Low,CYBERCRIME
Delhi,Rohini,28.7492,77.0574,Low,VEHICLE - STOLEN
Delhi,Saket,28.5206,77.2073,Low,DOMESTIC VIOLENCE
Kolkata,Park Street,22.5531,88.3501,High,DOMESTIC VIOLENCE
Bangalore,Indiranagar,12.9716,77.6408,Low,VEHICLE - STOLEN
Bangalore,Whitefield,12.9698,77.7499,High,SHOPLIFTING
Lucknow,Gomti Nagar,26.8467,81.0,Low,ARSON
Mumbai,Dadar,19.0184,72.8436,High,CYBERCRIME
Mumbai,Dadar,19.0184,72.8436,Low,VEHICLE - STOLEN
Mumbai,Andheri,19.1197,72.8468,Medium,ILLEGAL POSSESSION
Mumbai,Andheri,19.1197,72.8468,Medium,ILLEGAL POSSESSION
Delhi,Rohini,28.7492,77.0574,Medium,DRUG OFFENSE
Pune,Yerawada,18.5575,73.899,High,DOMESTIC VIOLENCE
Mumbai,Dadar,19.0184,72.8436,Low,TRAFFIC VIOLATION
Mumbai,Dadar,19.0184,72.8436,Low,TRAFFIC VIOLATION
Chennai,T. Nagar,13.042,80.2337,High,SHOPLIFTING
Kolkata,Salt Lake,22.5867,88.417,Low,VEHICLE - STOLEN
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,FRAUD
Delhi,Rohini,28.7492,77.0574,Medium,FIREARM OFFENSE
Mumbai,Dadar,19.0184,72.8436,Low,TRAFFIC VIOLATION
Delhi,Saket,28.5206,77.2073,Medium,PUBLIC INTOXICATION
Pune,Kasba Peth,18.5196,73.8574,Medium,DRUG OFFENSE
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,ASSAULT
Kolkata,Behala,22.501,88.3141,High,SHOPLIFTING
Delhi,Dwarka,28.5921,77.046,Medium,ILLEGAL POSSESSION
Delhi,Rohini,28.7492,77.0574,Low,ROBBERY
Bangalore,Indiranagar,12.9716,77.6408,Low,PUBLIC INTOXICATION
Chennai,Adyar,13.0067,80.257,Medium,EXTORTION
Pune,Budhwar Peth,18.5167,73.855,Medium,ILLEGAL POSSESSION
Pune,Tadiwala Road,18.5193,73.8794,Low,BURGLARY
Mumbai,Bandra,19.0606,72.8366,Low,PUBLIC INTOXICATION
Jaipur,Vaishali Nagar,26.9196,75.7395,High,SEXUAL ASSAULT
Mumbai,Andheri,19.1197,72.8468,High,KIDNAPPING
Chennai,Adyar,13.0067,80.257,Low,ROBBERY
Delhi,Dwarka,28.5921,77.046,Low,TRAFFIC VIOLATION
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,IDENTITY THEFT
Kolkata,Behala,22.501,88.3141,Low,ARSON
Jaipur,Malviya Nagar,26.8497,75.818,Low,FRAUD
Pune,Kothrud,18.5096,73.8077,Low,VANDALISM
Chennai,T. Nagar,13.042,80.2337,Low,BURGLARY
Delhi,Dwarka,28.5921,77.046,Medium,EXTORTION
Kolkata,Salt Lake,22.5867,88.417,Medium,DRUG OFFENSE
Pune,Hadapsar,18.4967,73.9347,Medium,DRUG OFFENSE
Chennai,T. Nagar,13.042,80.2337,Medium,EXTORTION
Mumbai,Dadar,19.0184,72.8436,Low,FRAUD
Delhi,Saket,28.5206,77.2073,High,SEXUAL ASSAULT
Kolkata,Salt Lake,22.5867,88.417,Low,PUBLIC INTOXICATION
Mumbai,Andheri,19.1197,72.8468,Low,VEHICLE - STOLEN
Kolkata,Park Street,22.5531,88.3501,Low,FRAUD
Kolkata,Park Street,22.5531,88.3501,Low,VEHICLE - STOLEN
Hyderabad,Begumpet,17.444,78.4637,Low,IDENTITY THEFT
Bangalore,Whitefield,12.9698,77.7499,Low,VANDALISM
Delhi,Saket,28.5206,77.2073,Low,DOMESTIC VIOLENCE
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,COUNTERFEITING
Hyderabad,Gachibowli,17.4448,78.3498,Low,TRAFFIC VIOLATION
Ahmedabad,Satellite,23.03,72.5171,Low,BURGLARY
Jaipur,Mansarovar,26.8554,75.7705,High,COUNTERFEITING
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,ARSON
Bangalore,Whitefield,12.9698,77.7499,Low,COUNTERFEITING
Kolkata,Salt Lake,22.5867,88.417,High,CYBERCRIME
Hyderabad,Begumpet,17.444,78.4637,Low,DOMESTIC VIOLENCE
Delhi,Saket,28.5206,77.2073,High,SEXUAL ASSAULT
Pune,Kothrud,18.5096,73.8077,Low,PUBLIC INTOXICATION
Kolkata,Behala,22.501,88.3141,Low,DOMESTIC VIOLENCE
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,SHOPLIFTING
Delhi,Rohini,28.7492,77.0574,Low,BURGLARY
Jaipur,Malviya Nagar,26.8497,75.818,Medium,ILLEGAL POSSESSION
Delhi,Dwarka,28.5921,77.046,Medium,FIREARM OFFENSE
Kolkata,Park Street,22.5531,88.3501,Medium,EXTORTION
Lucknow,Hazratganj,26.8508,80.9462,High,CYBERCRIME
Delhi,Rohini,28.7492,77.0574,Medium,EXTORTION
Kolkata,Park Street,22.5531,88.3501,Medium,ASSAULT
Mumbai,Andheri,19.1197,72.8468,Low,VANDALISM
Bangalore,Koramangala,12.9352,77.6142,High,CYBERCRIME
Kolkata,Park Street,22.5531,88.3501,Low,VANDALISM
Chennai,T. Nagar,13.042,80.2337,Low,BURGLARY
Mumbai,Dadar,19.0184,72.8436,Low,VEHICLE - STOLEN
Mumbai,Bandra,19.0606,72.8366,Low,VEHICLE - STOLEN
Kolkata,Behala,22.501,88.3141,Medium,FIREARM OFFENSE
Lucknow,Alambagh,26.7923,80.8899,Low,VANDALISM
Mumbai,Dadar,19.0184,72.8436,Medium,ASSAULT
Chennai,Velachery,12.9784,80.2209,Medium,DRUG OFFENSE
Hyderabad,Gachibowli,17.4448,78.3498,High,KIDNAPPING
Kolkata,Park Street,22.5531,88.3501,Medium,EXTORTION
Mumbai,Bandra,19.0606,72.8366,Medium,EXTORTION
Hyderabad,Gachibowli,17.4448,78.3498,Medium,EXTORTION
Hyderabad,Gachibowli,17.4448,78.3498,Low,ARSON
Delhi,Dwarka,28.5921,77.046,Low,COUNTERFEITING
Lucknow,Alambagh,26.7923,80.8899,High,DOMESTIC VIOLENCE
Mumbai,Dadar,19.0184,72.8436,Medium,FIREARM OFFENSE
Delhi,Saket,28.5206,77.2073,Low,IDENTITY THEFT
Mumbai,Dadar,19.0184,72.8436,High,SHOPLIFTING
Mumbai,Andheri,19.1197,72.8468,Medium,FIREARM OFFENSE
Lucknow,Hazratganj,26.8508,80.9462,Medium,ASSAULT
Bangalore,Indiranagar,12.9716,77.6408,Low,IDENTITY THEFT
Kolkata,Park Street,22.5531,88.3501,Low,DOMESTIC VIOLENCE
Hyderabad,Begumpet,17.444,78.4637,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Low,CYBERCRIME
Mumbai,Andheri,19.1197,72.8468,Medium,ROBBERY
Ahmedabad,Maninagar,22.9921,72.6036,Low,TRAFFIC VIOLATION
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,DRUG OFFENSE
Delhi,Dwarka,28.5921,77.046,High,SEXUAL ASSAULT
Delhi,Dwarka,28.5921,77.046,Low,COUNTERFEITING
Delhi,Dwarka,28.5921,77.046,Low,FRAUD
Mumbai,Bandra,19.0606,72.8366,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Medium,ROBBERY
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,EXTORTION
Delhi,Rohini,28.7492,77.0574,Low,HOMICIDE
Bangalore,Indiranagar,12.9716,77.6408,Low,TRAFFIC VIOLATION
Delhi,Dwarka,28.5921,77.046,Medium,EXTORTION
Pune,Kasba Peth,18.5196,73.8574,Medium,FIREARM OFFENSE
Bangalore,Indiranagar,12.9716,77.6408,Low,FRAUD
Delhi,Saket,28.5206,77.2073,Low,SHOPLIFTING
Chennai,T. Nagar,13.042,80.2337,Medium,ROBBERY
Hyderabad,Banjara Hills,17.4123,78.4296,Low,BURGLARY
Hyderabad,Gachibowli,17.4448,78.3498,High,SHOPLIFTING
Pune,Viman Nagar,18.5679,73.9143,High,KIDNAPPING
Mumbai,Bandra,19.0606,72.8366,High,KIDNAPPING
Lucknow,Alambagh,26.7923,80.8899,High,HOMICIDE
Ahmedabad,Satellite,23.03,72.5171,Medium,ASSAULT
Delhi,Dwarka,28.5921,77.046,Medium,ILLEGAL POSSESSION
Ahmedabad,Maninagar,22.9921,72.6036,Low,FRAUD
Bangalore,Indiranagar,12.9716,77.6408,High,KIDNAPPING
Mumbai,Dadar,19.0184,72.8436,Low,VANDALISM
Mumbai,Andheri,19.1197,72.8468,Low,IDENTITY THEFT
Pune,Kondhwa,18.4575,73.8901,Low,IDENTITY THEFT
Hyderabad,Banjara Hills,17.4123,78.4296,High,HOMICIDE
Mumbai,Bandra,19.0606,72.8366,Low,ARSON
Chennai,Adyar,13.0067,80.257,High,KIDNAPPING
Kolkata,Park Street,22.5531,88.3501,Low,BURGLARY
Kolkata,Salt Lake,22.5867,88.417,Low,PUBLIC INTOXICATION
Chennai,Adyar,13.0067,80.257,High,CYBERCRIME
Ahmedabad,Navrangpura,23.0422,72.5551,Medium,EXTORTION
Delhi,Saket,28.5206,77.2073,High,HOMICIDE
Kolkata,Salt Lake,22.5867,88.417,High,SEXUAL ASSAULT
Mumbai,Andheri,19.1197,72.8468,Low,CYBERCRIME
Chennai,Velachery,12.9784,80.2209,Medium,PUBLIC INTOXICATION
Delhi,Saket,28.5206,77.2073,Medium,PUBLIC INTOXICATION
Pune,Kasba Peth,18.5196,73.8574,Low,BURGLARY
Hyderabad,Gachibowli,17.4448,78.3498,Low,VANDALISM
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Mumbai,Bandra,19.0606,72.8366,High,KIDNAPPING
Hyderabad,Begumpet,17.444,78.4637,Medium,ROBBERY
Mumbai,Bandra,19.0606,72.8366,Low,CYBERCRIME
Mumbai,Andheri,19.1197,72.8468,Low,VEHICLE - STOLEN
Kolkata,Salt Lake,22.5867,88.417,Low,ARSON
Bangalore,Koramangala,12.9352,77.6142,High,SEXUAL ASSAULT
Chennai,Velachery,12.9784,80.2209,Low,TRAFFIC VIOLATION
Mumbai,Andheri,19.1197,72.8468,Low,COUNTERFEITING
Lucknow,Hazratganj,26.8508,80.9462,Low,ROBBERY
Bangalore,Indiranagar,12.9716,77.6408,Low,SHOPLIFTING
Hyderabad,Begumpet,17.444,78.4637,Medium,DRUG OFFENSE
Mumbai,Andheri,19.1197,72.8468,High,HOMICIDE
Delhi,Rohini,28.7492,77.0574,Low,SHOPLIFTING
Chennai,T. Nagar,13.042,80.2337,Low,VEHICLE - STOLEN
Delhi,Saket,28.5206,77.2073,Low,VEHICLE - STOLEN
Hyderabad,Begumpet,17.444,78.4637,Low,VEHICLE - STOLEN
Bangalore,Indiranagar,12.9716,77.6408,Low,ROBBERY
Bangalore,Indiranagar,12.9716,77.6408,Low,IDENTITY THEFT
Lucknow,Gomti Nagar,26.8467,81.0,Medium,PUBLIC INTOXICATION
Bangalore,Koramangala,12.9352,77.6142,Low,IDENTITY THEFT
Delhi,Dwarka,28.5921,77.046,Low,BURGLARY
Mumbai,Andheri,19.1197,72.8468,Low,VEHICLE - STOLEN
Delhi,Rohini,28.7492,77.0574,Low,HOMICIDE
Bangalore,Koramangala,12.9352,77.6142,Medium,DRUG OFFENSE
Kolkata,Behala,22.501,88.3141,Low,IDENTITY THEFT
Bangalore,Koramangala,12.9352,77.6142,High,HOMICIDE
Hyderabad,Begumpet,17.444,78.4637,Medium,ILLEGAL POSSESSION
Chennai,T. Nagar,13.042,80.2337,Low,BURGLARY
Delhi,Rohini,28.7492,77.0574,Medium,DRUG OFFENSE
Chennai,T. Nagar,13.042,80.2337,High,KIDNAPPING
Bangalore,Whitefield,12.9698,77.7499,High,SEXUAL ASSAULT
Delhi,Saket,28.5206,77.2073,Low,FRAUD
Pune,Kasba Peth,18.5196,73.8574,Low,SHOPLIFTING
Bangalore,Indiranagar,12.9716,77.6408,Low,PUBLIC INTOXICATION
Lucknow,Hazratganj,26.8508,80.9462,High,HOMICIDE
Delhi,Dwarka,28.5921,77.046,Medium,EXTORTION
Delhi,Dwarka,28.5921,77.046,Low,SHOPLIFTING
Chennai,Adyar,13.0067,80.257,High,SHOPLIFTING
Delhi,Saket,28.5206,77.2073,Low,ARSON
Mumbai,Dadar,19.0184,72.8436,Low,BURGLARY
Kolkata,Behala,22.501,88.3141,High,CYBERCRIME
Kolkata,Park Street,22.5531,88.3501,High,HOMICIDE
Delhi,Saket,28.5206,77.2073,Medium,DRUG OFFENSE
Chennai,Adyar,13.0067,80.257,Medium,ROBBERY
Chennai,Velachery,12.9784,80.2209,Medium,EXTORTION
Chennai,Velachery,12.9784,80.2209,Medium,DRUG OFFENSE
Kolkata,Behala,22.501,88.3141,Low,FRAUD
Mumbai,Bandra,19.0606,72.8366,Medium,ROBBERY
Kolkata,Behala,22.501,88.3141,High,DOMESTIC VIOLENCE
Lucknow,Hazratganj,26.8508,80.9462,Low,VANDALISM
Pune,Tadiwala Road,18.5193,73.8794,Low,BURGLARY
